"   ","INSTANCE_NUMBER","SNAP_ID","SNAP_TIME","EVENT_NAME","WAITS","WAIT_TIME","AVGWAIT","PCT_DB_TIME","WAIT_CLASS"
"242","1","1744","8/26/2013 8:15:50 AM","db file sequential read","32012","451","14","39.5","User I/O"
"243","1","1744","8/26/2013 8:15:50 AM","direct path read","151","7","46","0.6","User I/O"
"244","1","1745","8/26/2013 8:45:50 AM","db file scattered read","13263","178","13","15.6","User I/O"
"245","1","1745","8/26/2013 8:45:50 AM","db file sequential read","32012","451","14","39.5","User I/O"
"246","1","1745","8/26/2013 8:45:50 AM","direct path read","151","7","46","0.6","User I/O"
"247","1","1746","8/26/2013 9:15:50 AM","db file scattered read","13263","178","13","15.6","User I/O"
"248","1","1746","8/26/2013 9:15:50 AM","db file sequential read","32012","451","14","39.5","User I/O"
"249","1","1746","8/26/2013 9:15:50 AM","direct path read","151","7","46","0.6","User I/O"
"250","1","1747","8/26/2013 9:45:50 AM","db file scattered read","13263","178","13","15.6","User I/O"
"251","1","1747","8/26/2013 9:45:50 AM","db file sequential read","32012","451","14","39.5","User I/O"
"252","1","1747","8/26/2013 9:45:50 AM","direct path read","151","7","46","0.6","User I/O"
"253","1","1748","8/26/2013 10:15:50 AM","db file scattered read","13263","178","13","15.6","User I/O"
"254","1","1748","8/26/2013 10:15:50 AM","db file sequential read","32012","451","14","39.5","User I/O"
"255","1","1748","8/26/2013 10:15:50 AM","direct path read","151","7","46","0.6","User I/O"
"256","1","1749","8/26/2013 10:45:50 AM","db file scattered read","13263","178","13","15.6","User I/O"
"257","1","1749","8/26/2013 10:45:50 AM","db file sequential read","32012","451","14","39.5","User I/O"
"258","1","1749","8/26/2013 10:45:50 AM","direct path read","151","7","46","0.6","User I/O"
"259","1","1750","8/26/2013 11:15:50 AM","db file scattered read","13263","178","13","15.6","User I/O"
"260","1","1750","8/26/2013 11:15:50 AM","db file sequential read","32012","451","14","39.5","User I/O"
"261","1","1750","8/26/2013 11:15:50 AM","direct path read","151","7","46","0.6","User I/O"
"262","1","1751","8/26/2013 11:45:50 AM","db file scattered read","13263","178","13","15.6","User I/O"
"263","1","1751","8/26/2013 11:45:50 AM","db file sequential read","32012","451","14","39.5","User I/O"
"264","1","1751","8/26/2013 11:45:50 AM","direct path read","151","7","46","0.6","User I/O"
"265","1","1752","8/26/2013 12:15:50 PM","db file scattered read","13263","178","13","15.6","User I/O"
"266","1","1752","8/26/2013 12:15:50 PM","db file sequential read","32012","451","14","39.5","User I/O"
"267","1","1752","8/26/2013 12:15:50 PM","direct path read","151","7","46","0.6","User I/O"
"268","1","1753","8/26/2013 12:45:50 PM","db file scattered read","13263","178","13","15.6","User I/O"
"269","1","1753","8/26/2013 12:45:50 PM","db file sequential read","32012","451","14","39.5","User I/O"
"270","1","1753","8/26/2013 12:45:50 PM","direct path read","151","7","46","0.6","User I/O"
"271","1","1754","8/26/2013 1:15:50 PM","db file scattered read","13263","178","13","15.6","User I/O"
"272","1","1754","8/26/2013 1:15:50 PM","db file sequential read","32012","451","14","39.5","User I/O"
"273","1","1754","8/26/2013 1:15:50 PM","direct path read","151","7","46","0.6","User I/O"
"274","1","1755","8/26/2013 1:45:50 PM","db file scattered read","13263","178","13","15.6","User I/O"
"275","1","1755","8/26/2013 1:45:50 PM","db file sequential read","32012","451","14","39.5","User I/O"
"276","1","1755","8/26/2013 1:45:50 PM","direct path read","151","7","46","0.6","User I/O"
"277","1","1756","8/26/2013 2:15:50 PM","db file scattered read","13263","178","13","15.6","User I/O"
"278","1","1756","8/26/2013 2:15:50 PM","db file sequential read","32012","451","14","39.5","User I/O"
"279","1","1756","8/26/2013 2:15:50 PM","direct path read","151","7","46","0.6","User I/O"
"280","1","1757","8/26/2013 2:45:50 PM","db file scattered read","13263","178","13","15.6","User I/O"
"281","1","1757","8/26/2013 2:45:50 PM","db file sequential read","32012","451","14","39.5","User I/O"
"282","1","1757","8/26/2013 2:45:50 PM","direct path read","151","7","46","0.6","User I/O"
"283","1","1758","8/26/2013 3:15:50 PM","db file scattered read","13263","178","13","15.6","User I/O"
"284","1","1758","8/26/2013 3:15:50 PM","db file sequential read","32012","451","14","39.5","User I/O"
"285","1","1758","8/26/2013 3:15:50 PM","direct path read","151","7","46","0.6","User I/O"
"286","1","1759","8/26/2013 3:45:50 PM","db file scattered read","13263","178","13","15.6","User I/O"
"287","1","1759","8/26/2013 3:45:50 PM","db file sequential read","32012","451","14","39.5","User I/O"
"288","1","1759","8/26/2013 3:45:50 PM","direct path read","151","7","46","0.6","User I/O"
"289","1","1760","8/26/2013 4:15:50 PM","db file scattered read","13263","178","13","15.6","User I/O"
"290","1","1760","8/26/2013 4:15:50 PM","db file sequential read","32012","451","14","39.5","User I/O"
"291","1","1760","8/26/2013 4:15:50 PM","direct path read","151","7","46","0.6","User I/O"
